Classification,Increment,Current,First full pay period on or after,First full pay period on or after,First full pay period on or after,First full pay period on or after
,,,01/08/21,01/08/22,01/08/23,01/08/24
AHP-1,3 year degree,"$64,519.00","$65,487.00","$66,469.00","$67,466.00","$68,478.00"
,4 year degree,"$67,248.00","$68,257.00","$69,281.00","$70,320.00","$71,375.00"
,3rd,"$69,976.00","$71,026.00","$72,091.00","$73,172.00","$74,270.00"
,4th,"$74,068.00","$75,179.00","$76,307.00","$77,451.00","$78,613.00"
,5th,"$78,761.00","$79,942.00","$81,142.00","$82,359.00","$83,594.00"
,,,,,,
AHP-2,1st,"$83,152.00","$84,399.00","$85,665.00","$86,950.00","$88,255.00"
,2nd,"$85,879.00","$87,167.00","$88,475.00","$89,802.00","$91,149.00"
,3rd,"$88,951.00","$90,285.00","$91,640.00","$93,014.00","$94,409.00"
,4th,"$92,020.00","$93,400.00","$94,801.00","$96,223.00","$97,667.00"
,5th,"$95,429.00","$96,860.00","$98,313.00","$99,788.00","$101,285.00"
,6th,"$96,329.00","$97,774.00","$99,241.00","$100,729.00","$102,240.00"
,,,,,,
AHP-3,1st,"$98,157.00","$99,629.00","$101,124.00","$102,641.00","$104,180.00"
,2nd,"$100,887.00","$102,400.00","$103,936.00","$105,495.00","$107,078.00"
,3rd,"$104,296.00","$105,860.00","$107,448.00","$109,060.00","$110,696.00"
,4th,"$105,285.00","$106,864.00","$108,467.00","$110,094.00","$111,746.00"
,,,,,,
AHP-4,1st,"$107,705.00","$109,321.00","$110,960.00","$112,625.00","$114,314.00"
,2nd,"$110,433.00","$112,089.00","$113,771.00","$115,477.00","$117,210.00"
,3rd,"$113,505.00","$115,208.00","$116,936.00","$118,690.00","$120,470.00"
,4th,"$117,254.00","$119,013.00","$120,798.00","$122,610.00","$124,449.00"
,,,,,,
AHP-5,1st,"$119,983.00","$121,783.00","$123,609.00","$125,464.00","$127,346.00"
,2nd,"$122,722.00","$124,563.00","$126,431.00","$128,328.00","$130,253.00"
,3rd,"$126,924.00","$128,828.00","$130,760.00","$132,722.00","$134,713.00"
,4th,"$131,228.00","$133,196.00","$135,194.00","$137,222.00","$139,281.00"
,,,,,,
AHP-6,,"$144,091.00","$146,252.00","$148,446.00","$150,673.00","$152,933.00"
